name,role,skin_type,power_level,weight,height,gender,speed,has_hair,planet
Gallant Mage,Hero,Stone,98,22,350,2,245,True,Earth
Mystic Knight,Villain,Wooden,86,168,275,3,386,False,Mars
Moon Knight,Villain,Wooden,85,217,240,2,386,False,Pluto
Kamina,Hero,Steel,6,180,245,1,433,False,Pluto
Shinra Kusakabe,Villain,Stone,44,209,180,3,104,False,Venus
Wolverine,Hero,Stone,43,63,390,3,10,True,Earth
Wiccan,Hero,Wooden,10,55,105,1,480,False,Pluto
Psylocke,Hero,Steel,13,180,355,0,104,False,Pluto
Shazam,Villain,Wooden,40,76,270,0,104,True,Venus
Chivalrous Knight,Hero,Stone,40,88,240,3,480,False,Pluto
Gallant Sorcerer,Hero,Stone,2,124,260,0,292,True,Mars
Mystic Crusader,Hero,Steel,55,111,145,0,151,True,Earth
Neji Hyuga,Hero,Stone,98,83,390,3,245,False,Pluto
Shizuo Heiwajima,Villain,Stone,40,65,310,3,151,True,Earth
Iceman,Villain,Steel,58,199,185,1,151,False,Venus
Mister Fantastic,Hero,Steel,21,23,340,3,198,True,Venus
Kazuto Kirigaya,Hero,Wooden,50,71,200,3,292,False,Pluto
Techno Shadowcaster,Villain,Stone,87,41,375,1,104,True,Venus
Mystic Templar,Villain,Wooden,24,53,140,2,292,True,Mars
Zauriel,Villain,Stone,90,116,325,3,386,False,Pluto
Mockingbird,Hero,Stone,22,133,345,1,339,True,Venus
Valiant Cleric,Hero,Steel,18,103,340,3,10,False,Venus
Vash the Stampede,Villain,Steel,62,161,360,3,433,True,Venus
Augmented Overclock,Hero,Steel,8,23,225,0,339,False,Earth
Black Canary,Villain,Stone,60,75,290,3,10,False,Earth
Raven,Hero,Stone,57,106,145,1,386,False,Pluto
Firestar,Villain,Wooden,98,148,190,1,151,True,Pluto
Hulk,Hero,Steel,39,183,380,0,292,True,Mars
Captain America,Hero,Steel,16,186,200,3,339,False,Mars
Radiant Knight,Hero,Wooden,80,99,100,3,433,False,Pluto
Digital Cyborg,Villain,Stone,63,96,375,2,57,True,Venus
Bisky,Hero,Stone,75,175,145,1,198,True,Pluto
Metamorpho,Villain,Steel,60,219,290,2,433,True,Pluto
Boruto Uzumaki,Villain,Wooden,78,145,345,1,292,True,Mars
Jack of Hearts,Villain,Steel,49,161,220,3,10,False,Pluto
Jiraiya,Villain,Steel,85,74,290,3,104,True,Pluto
Living Lightning,Hero,Stone,7,123,265,0,339,False,Venus
Reigen Arataka,Villain,Steel,4,146,270,1,292,True,Venus
Ed,Villain,Stone,74,217,210,0,433,False,Pluto
Atom Smasher,Hero,Stone,19,102,325,1,104,True,Venus
Darkhawk,Villain,Stone,51,101,180,0,245,False,Pluto
Obsidian,Villain,Steel,84,136,125,3,245,False,Venus
Krillin,Villain,Wooden,98,81,350,3,57,True,Earth
Holo,Villain,Wooden,50,174,365,2,57,True,Pluto
Sakura,Hero,Stone,9,33,105,2,245,True,Mars
Zatanna,Hero,Steel,60,47,220,3,57,False,Earth
Gon,Hero,Stone,7,21,170,0,433,True,Pluto
Valiant Knight,Hero,Stone,93,91,350,2,10,True,Earth
Firebird,Villain,Steel,4,156,130,1,292,True,Earth
Yoko Littner,Hero,Wooden,63,30,245,2,292,True,Earth
Gallant Spellblade,Hero,Steel,74,67,240,0,198,False,Pluto
Iron Fist,Hero,Steel,92,206,165,2,151,False,Pluto
Pixelated Technomancer,Villain,Wooden,5,165,365,2,198,False,Earth
Cybernetic Crypto-Warrior,Hero,Stone,94,36,340,3,57,True,Venus
Tawky Tawny,Hero,Stone,12,213,185,0,198,True,Pluto
Digital Firewall,Hero,Wooden,8,33,120,0,57,False,Mars
Eren Yeager,Villain,Steel,48,204,170,0,433,True,Mars
Divine Cleric,Villain,Stone,61,198,370,2,10,True,Venus
Techno Firewall,Hero,Stone,85,48,290,1,57,True,Earth
Rintarou Okabe,Villain,Wooden,31,84,335,2,198,True,Pluto
Yusuke Urameshi,Villain,Stone,23,90,140,3,386,True,Venus
Silver Surfer,Hero,Steel,5,175,390,1,292,True,Pluto
Howard the Duck,Villain,Steel,69,135,315,1,292,False,Earth
Katma Tui,Villain,Steel,70,32,200,1,433,False,Mars
Batman,Villain,Stone,63,108,220,2,57,True,Earth
Noble Cleric,Hero,Wooden,44,102,190,2,480,False,Pluto
Digital Hacker,Hero,Steel,31,152,150,0,10,False,Venus
Pixelated Glitch,Hero,Stone,74,101,115,0,151,False,Earth
Hyper Hacker,Villain,Steel,57,26,255,2,339,True,Mars
Etrigan the Demon,Hero,Stone,85,155,265,1,292,False,Earth
America Chavez,Hero,Wooden,57,42,240,2,480,False,Earth
Deku,Hero,Stone,78,91,395,3,10,True,Mars
Esdeath,Hero,Steel,78,61,110,3,104,False,Mars
Rogue,Villain,Stone,23,90,200,0,480,True,Venus
Phantom Stranger,Hero,Steel,22,156,125,1,292,False,Pluto
Quantum Defender,Villain,Steel,30,120,115,0,433,True,Pluto
Black Panther,Villain,Stone,52,100,145,3,198,False,Earth
Techno Hacker,Hero,Wooden,45,141,325,3,292,False,Mars
Augmented Crypto-Warrior,Villain,Stone,42,195,160,2,339,True,Earth
Brave Knight,Villain,Wooden,99,96,130,0,10,False,Earth
John Constantine,Villain,Stone,52,152,270,3,292,True,Mars
Tanjiro,Villain,Wooden,24,146,365,0,57,True,Venus
Arcane Templar,Villain,Stone,92,45,385,3,339,False,Venus
Magik,Villain,Wooden,48,179,375,3,480,False,Venus
Sanji,Villain,Steel,56,125,110,0,198,True,Earth
Divine Sorcerer,Hero,Stone,70,81,235,3,10,True,Mars
She-Hulk,Villain,Wooden,22,162,380,2,386,True,Venus
Ethereal Templar,Hero,Wooden,35,197,230,2,10,True,Pluto
Arcane Enchanter,Villain,Steel,97,36,335,3,151,False,Mars
Red Robin,Villain,Steel,21,89,120,0,292,False,Earth
Takashi Komuro,Hero,Stone,54,28,200,3,433,True,Mars
Red Tornado,Villain,Wooden,94,148,370,2,104,True,Pluto
Impulse,Villain,Wooden,98,199,150,1,10,False,Mars
Valiant Spellblade,Villain,Steel,43,133,200,1,151,True,Mars
Gallant Sentinel,Hero,Wooden,9,157,325,3,57,True,Venus
Neon Overclock,Hero,Stone,92,77,200,0,480,False,Earth
Noble Spellblade,Villain,Stone,28,41,355,1,198,False,Earth
Blade,Hero,Steel,98,95,315,3,151,False,Mars
Mikasa,Hero,Stone,33,108,355,2,245,False,Pluto
M,Hero,Steel,47,108,240,3,151,True,Earth
Brave Spellblade,Villain,Steel,77,216,120,2,104,True,Pluto
Noelle Silva,Hero,Steel,32,50,335,1,10,False,Venus
Hercules,Hero,Stone,44,149,345,2,386,False,Venus
Black Lightning,Hero,Stone,56,133,180,1,57,False,Pluto
Max Mercury,Hero,Stone,12,62,205,3,339,False,Venus
Digital Netrunner,Villain,Stone,94,194,200,0,198,True,Venus
Holographic Defender,Villain,Wooden,3,100,140,0,57,False,Earth
Franklin Richards,Hero,Steel,30,74,115,1,386,True,Mars
Digital Shadowcaster,Villain,Wooden,32,181,360,1,245,False,Pluto
Black Orchid,Villain,Stone,83,130,340,1,339,False,Venus
Hyper Glitch,Hero,Wooden,77,106,100,3,245,True,Venus
Polaris,Villain,Stone,16,215,250,1,386,True,Pluto
Divine Spellblade,Hero,Stone,95,219,315,3,198,False,Venus
The Spectre,Hero,Stone,49,183,290,0,10,False,Pluto
Mera,Hero,Steel,86,140,215,1,292,True,Venus
Nemesis,Villain,Wooden,16,147,130,1,10,False,Venus
Hyper Firewall,Villain,Stone,30,139,185,1,292,False,Mars
Akira Fudo,Villain,Stone,82,85,225,1,292,False,Mars
Makunouchi Ippo,Hero,Steel,70,152,260,2,245,True,Venus
Neon Hacker,Hero,Wooden,32,65,105,0,292,True,Earth
Lina Inverse,Villain,Wooden,93,83,295,2,386,False,Venus
Icon,Villain,Wooden,2,78,220,0,339,False,Pluto
Hyper Netrunner,Hero,Stone,3,115,300,1,245,True,Venus
Star-Lord,Hero,Stone,50,161,190,2,245,True,Earth
Wonder Woman,Villain,Steel,50,76,380,1,339,False,Mars
Longshot,Hero,Stone,3,171,240,1,245,True,Earth
Ten Shien Han,Hero,Wooden,79,216,260,3,480,False,Mars
Mystic Sorcerer,Hero,Wooden,97,82,380,1,386,True,Mars
Nightwing,Hero,Wooden,92,134,215,0,339,False,Earth
Asta,Hero,Wooden,38,83,225,2,339,False,Pluto
Cybernetic Overclock,Villain,Steel,43,60,105,2,245,False,Pluto
Hawkgirl,Villain,Stone,1,155,160,2,198,True,Earth
The Thing,Hero,Stone,66,83,360,0,433,False,Earth
Bishop,Hero,Stone,99,182,355,1,433,False,Mars
Vision,Villain,Steel,31,176,355,2,245,True,Earth
Quicksilver,Villain,Wooden,60,179,230,1,10,True,Venus
Quantum Crypto-Warrior,Villain,Steel,52,191,250,2,151,False,Venus
Quantum Shadowcaster,Villain,Stone,4,57,190,0,151,True,Pluto
Brave Cleric,Hero,Stone,57,186,385,3,339,False,Mars
Nightcrawler,Villain,Stone,76,160,315,0,386,False,Pluto
Encrypted Cyborg,Hero,Steel,98,193,110,0,57,True,Mars
Cybernetic Cyborg,Hero,Stone,90,90,250,3,292,True,Pluto
Valeria Richards,Villain,Stone,15,95,205,0,480,True,Mars
Digital Overclock,Villain,Stone,61,90,180,2,245,False,Pluto
Pixelated Defender,Hero,Wooden,75,149,145,2,151,True,Venus
Ging Freecss,Hero,Wooden,12,199,380,0,433,False,Venus
Cybernetic Netrunner,Hero,Steel,56,120,315,2,198,False,Mars
Radiant Paladin,Hero,Wooden,16,46,100,3,10,False,Pluto
Gallant Crusader,Villain,Stone,5,177,200,2,433,False,Pluto
Valiant Enchanter,Hero,Stone,65,24,170,2,10,False,Pluto
Shigeo Kageyama,Villain,Wooden,21,151,335,0,10,True,Earth
Quantum Cyborg,Villain,Steel,95,163,130,3,151,False,Mars
Ethereal Cleric,Villain,Wooden,16,70,140,1,151,True,Mars
Echo,Villain,Stone,29,162,320,1,339,True,Pluto
Beta Ray Bill,Villain,Steel,50,171,365,2,10,False,Venus
Genos,Villain,Steel,8,146,110,1,339,True,Earth
Pixelated Firewall,Villain,Steel,79,45,115,3,339,True,Venus
Ghost Rider,Hero,Stone,12,191,170,2,245,True,Mars
Kenshin Himura,Hero,Steel,34,176,185,2,198,True,Earth
Hawk,Villain,Stone,47,86,265,2,198,False,Mars
Tatsumi,Villain,Wooden,88,192,380,2,57,True,Venus
Ms. Marvel,Hero,Stone,1,44,100,2,57,True,Mars
Supergirl,Villain,Wooden,27,101,375,3,151,True,Venus
Ichigo Kurosaki,Villain,Wooden,40,21,365,3,339,True,Pluto
Looker,Hero,Stone,69,29,120,3,292,True,Venus
Invisible Woman,Hero,Stone,34,218,125,0,433,False,Venus
Prowler,Hero,Stone,97,121,365,2,292,True,Venus
Techno Netrunner,Villain,Stone,20,104,320,0,151,False,Mars
Hellcat,Hero,Stone,91,153,275,2,104,False,Earth
Neon Defender,Villain,Steel,12,81,265,0,57,False,Pluto
Pixelated Netrunner,Hero,Steel,73,155,130,1,151,True,Earth
Vegeta,Villain,Stone,99,168,275,1,292,True,Earth
Cybernetic Glitch,Villain,Stone,19,31,280,3,245,True,Earth
Tony Chopper,Villain,Stone,35,164,305,0,386,True,Earth
Encrypted Netrunner,Villain,Steel,76,50,370,3,433,True,Mars
Mob,Hero,Wooden,90,184,160,2,151,False,Mars
Minato Uzumaki,Hero,Steel,95,27,220,0,151,True,Mars
Booster Gold,Hero,Steel,82,143,245,0,198,False,Pluto
Hiei,Villain,Wooden,15,168,295,3,151,True,Earth
Chivalrous Templar,Hero,Wooden,41,180,380,0,198,True,Venus
Holographic Shadowcaster,Villain,Steel,66,56,185,2,151,True,Venus
Elongated Man,Hero,Wooden,58,174,375,0,386,False,Mars
Cybernetic Shadowcaster,Villain,Steel,42,179,140,0,292,False,Pluto
Hyper Shadowcaster,Villain,Stone,7,39,285,3,57,True,Venus
Thor,Hero,Steel,3,120,310,3,57,True,Mars
Augmented Netrunner,Villain,Stone,56,54,335,2,57,True,Earth
Blue Beetle,Villain,Stone,78,87,245,3,10,False,Mars
Metron,Hero,Wooden,26,207,380,3,480,False,Mars
Aquaman,Hero,Stone,17,163,375,2,339,False,Mars
Mystic Enchanter,Villain,Stone,32,185,350,0,198,False,Pluto
Jin-Woo Sung,Hero,Stone,76,158,195,3,292,False,Earth
The Flash,Villain,Stone,94,65,375,2,104,True,Venus
Tsunade,Villain,Stone,13,132,290,3,386,True,Earth
Radiant Templar,Hero,Steel,87,133,125,2,198,False,Pluto
Dove,Hero,Steel,8,164,215,2,386,False,Mars
Radiant Cleric,Villain,Steel,25,63,110,1,339,True,Mars
Akame,Villain,Steel,17,94,220,2,10,True,Earth
Son Goku,Villain,Wooden,50,101,285,3,151,True,Mars
Green Arrow,Villain,Wooden,11,195,145,1,57,True,Venus
Vixen,Hero,Wooden,90,125,195,3,57,False,Venus
Simon,Hero,Steel,2,74,260,3,386,True,Mars
Noble Enchanter,Hero,Steel,33,117,270,0,480,False,Pluto
Superman,Villain,Wooden,23,81,190,0,386,False,Pluto
Pixelated Shadowcaster,Hero,Stone,60,132,320,1,339,True,Mars
Fire,Villain,Steel,82,69,330,3,339,True,Pluto
Cable,Hero,Steel,53,187,265,3,104,False,Mars
Ryoma Echizen,Hero,Wooden,53,132,245,2,10,True,Venus
Cyclone,Villain,Steel,38,110,200,1,151,False,Pluto
Blue Devil,Villain,Steel,40,124,270,1,245,True,Mars
The Atom,Hero,Wooden,78,180,165,2,57,True,Venus
Divine Sentinel,Villain,Steel,52,211,265,0,104,True,Venus
Mystic Mage,Villain,Steel,57,65,315,3,339,False,Mars
Hope Summers,Villain,Steel,61,90,320,0,386,True,Earth
Cannonball,Villain,Wooden,49,75,105,0,198,True,Mars
Son Goten,Villain,Steel,41,95,390,3,10,False,Earth
Simon Baz,Hero,Steel,73,100,285,2,104,True,Mars
Shikamaru Nara,Villain,Stone,93,32,300,1,339,False,Earth
Arcane Sorcerer,Hero,Steel,11,72,305,1,198,False,Pluto
Ethereal Sorcerer,Hero,Wooden,45,37,330,1,198,True,Venus
Ryu Hayabusa,Villain,Wooden,3,128,160,0,339,False,Earth
Noble Sentinel,Hero,Steel,97,66,305,1,245,False,Earth
Neon Cyborg,Hero,Stone,65,61,380,0,10,False,Mars
Roshi,Villain,Steel,66,149,195,2,480,True,Pluto
Sarada Uchiha,Villain,Wooden,36,95,300,1,10,False,Venus
Arcane Spellblade,Hero,Wooden,38,114,180,3,292,False,Mars
Divine Crusader,Villain,Steel,12,94,115,1,57,True,Pluto
Brave Sorcerer,Villain,Stone,31,109,120,0,480,True,Venus
Neon Shadowcaster,Villain,Steel,76,20,215,0,433,False,Mars
Colossus,Villain,Steel,31,82,255,3,433,False,Earth
Hyper Cyborg,Hero,Wooden,1,35,350,3,57,True,Pluto
Kid Flash,Hero,Wooden,68,76,235,3,10,False,Venus
Edward Elric,Villain,Steel,40,116,180,2,57,True,Pluto
Storm,Villain,Steel,3,88,290,1,57,True,Pluto
Speedball,Hero,Wooden,17,136,345,3,10,True,Pluto
Captain Atom,Villain,Steel,48,87,245,2,480,True,Earth
Divine Templar,Villain,Stone,75,181,270,1,292,True,Venus
Augmented Technomancer,Villain,Steel,38,47,165,2,292,False,Pluto
All Might,Villain,Stone,13,204,235,3,386,False,Earth
Kuwabara,Hero,Wooden,65,176,360,0,339,True,Mars
Hyper Crypto-Warrior,Hero,Wooden,66,169,255,1,480,False,Earth
Holographic Overclock,Villain,Stone,68,117,265,3,386,True,Venus
Asuna Yuuki,Villain,Wooden,16,47,180,3,245,False,Pluto
Gallant Cleric,Hero,Wooden,9,133,325,3,292,True,Earth
Mr. Terrific,Villain,Steel,69,33,315,2,433,False,Venus
Zenitsu,Villain,Steel,19,206,170,1,292,False,Earth
Pixie,Villain,Wooden,16,62,350,0,433,True,Earth
Swamp Thing,Villain,Stone,92,207,355,1,10,True,Pluto
Holographic Crypto-Warrior,Hero,Steel,84,39,240,0,292,False,Venus
Cyborg,Villain,Wooden,99,132,150,1,10,True,Venus
Miss Martian,Villain,Wooden,46,55,355,0,57,False,Venus
Jessica Jones,Villain,Steel,18,153,255,0,339,True,Venus
Thunderstrike,Hero,Stone,98,101,305,0,151,False,Mars
Orion,Villain,Stone,42,39,385,3,245,False,Venus
Muichiro Tokito,Hero,Wooden,91,179,380,1,339,True,Pluto
Hulkling,Hero,Steel,1,197,320,3,57,True,Earth
Jade,Villain,Wooden,7,96,240,3,386,True,Venus
Bwana Beast,Villain,Stone,31,115,200,0,339,False,Earth
Deadman,Villain,Steel,88,203,195,2,10,False,Earth
Dr. Light,Hero,Stone,55,164,105,3,386,False,Venus
Cybernetic Hacker,Hero,Stone,64,180,180,2,198,True,Venus
Kuroko,Villain,Steel,62,37,175,0,292,False,Mars
Pixelated Crypto-Warrior,Hero,Wooden,27,38,250,0,386,True,Mars
Techno Overclock,Villain,Steel,92,88,305,1,245,True,Pluto
Phantom Girl,Hero,Wooden,91,160,250,2,433,False,Venus
Lightning,Villain,Steel,93,86,220,1,151,False,Venus
